sales_rank,overall_rating,positive,negative,no_of_reviews,discount_value,discount_rate
,,,,,,
683,4.4,91,8,89,30,24
,,,,,,
420,4,74,14,206,82,55
,,,,,,
133,4.2,82,10,171,16,23
,,,,,,
391,3.9,69,17,59,254,42
,,,,,,
585,4.6,91,4,57,62,25
,,,,,,
527,3.4,54,27,26,195,28
,,,,,,
183,4.3,83,12,351,51,34
,,,,,,
567,4.2,86,3,7,172,46
,,,,,,
616,4.8,95,3,152,137,46
,,,,,,
826,4.5,84,6,19,75,56
,,,,,,
470,4.5,100,3,12,70,28
,,,,,,
35,4.6,92,4,2693,223,56
,,,,,,
526,4.6,91,4,57,62,25
,,,,,,
450,4.2,84,9,237,71,28
,,,,,,
505,4.5,89,6,246,52,12
,,,,,,
122,4.7,95,2,284,84,42
,,,,,,
795,4.2,89,13,9,100,40
,,,,,,
81,4.6,92,7,143,120,48
,,,,,,
44,4.5,88,5,1025,102,41
,,,,,,
274,4.5,88,6,2193,84,42
,,,,,,
29,4.3,83,11,726,143,48
,,,,,,
232,4.5,88,5,125,201,31
,,,,,,
36,4.5,91,5,112,21,18
,,,,,,
26,4.1,78,11,373,103,69
,,,,,,
302,4,74,16,215,96,64
,,,,,,
318,4.5,94,12,10,59,20
,,,,,,
941,4.4,90,12,10,20,29
,,,,,,
514,4,77,12,39,89,10
,,,,,,
305,4.3,83,12,329,201,40
,,,,,,
158,3.9,70,18,300,124,50
,,,,,,
939,4.2,85,11,28,136,31
,,,,,,
495,4.5,96,3,46,35,12
,,,,,,
624,4.2,85,15,20,260,26
,,,,,,
533,4.4,86,8,99,161,40
,,,,,,
394,4.4,90,7,78,36,30
,,,,,,
252,4.6,91,6,624,181,40
,,,,,,
673,4.5,100,3,2,80,32
,,,,,,
593,4.7,93,4,973,144,48
,,,,,,
559,5,104,3,5,210,35
,,,,,,
391,4.1,77,12,129,5,20
,,,,,,
85,4.1,77,15,391,219,32
,,,,,,
409,4.5,91,5,127,50,40
,,,,,,
771,4.2,83,18,6,135,34
,,,,,,
805,4.4,90,7,40,16,20
,,,,,,
25,4.7,93,4,1304,143,48
,,,,,,
24,4.4,86,7,111,75,25
,,,,,,
112,4.7,94,3,229,301,46
,,,,,,
224,4.3,79,10,1832,184,46
,,,,,,
63,4,84,10,12,17,7
,,,,,,
185,4.4,85,9,142,229,43
