sales_rank,overall_rating,positive,negative,no_of_reviews,discount_value,discount_rate
3 in Books ,4.5,89,6,"3,957 customer reviews",124.00,(62%)
4 in Books ,4.5,90,6,"3,095 customer reviews",81.00,(54%)
5 in Books ,4.3,83,12,793 customer reviews,159.00,(32%)
6 in Books ,3.3,56,36,74 customer reviews,155.00,(48%)
17 in Books ,4.2,82,8,293 customer reviews,8.00,(27%)
13 in Books ,4.5,89,6,"3,094 customer reviews",89.00,(22%)
12 in Books ,4.7,93,4,"1,011 customer reviews",146.00,(49%)
39 in Books ,4.4,87,4,293 customer reviews,52.00,(55%)
18 in Books ,4.5,90,5,444 customer reviews,81.00,(41%)
19 in Books ,4.5,90,5,"2,694 customer reviews",68.00,(34%)
54 in Books ,4.5,88,5,457 customer reviews,85.00,(43%)
63 in Books ,4.4,85,6,247 customer reviews,114.00,(46%)
14 in Books ,4.3,83,11,892 customer reviews,359.00,(51%)
47 in Books ,4.6,91,5,"1,989 customer reviews",133.00,(34%)
