sales_rank,overall_rating,positive,negative,no_of_reviews,discount_value,discount_rate
54.0,4.5,88.0,5.0,1020.0,115.0,46.0
84.0,4.5,92.0,4.0,156.0,76.0,61.0
62.0,4.2,80.0,13.0,676.0,83.0,21.0
865.0,4.9,98.0,3.0,43.0,51.0,34.0
76.0,4.5,87.0,9.0,1634.0,322.0,40.0
461.0,4.4,87.0,5.0,353.0,20.0,21.0
55.0,4.4,87.0,7.0,754.0,107.0,55.0
36.0,4.1,79.0,10.0,355.0,103.0,69.0
132.0,4.3,83.0,9.0,327.0,10.0,10.0
90.0,4.3,83.0,11.0,721.0,30.0,10.0
65.0,4.5,87.0,5.0,260.0,30.0,30.0
269.0,4.5,87.0,4.0,46.0,91.0,36.0
99.0,4.1,78.0,14.0,415.0,228.0,40.0
424.0,4.6,91.0,3.0,35.0,51.0,34.0
79.0,4.6,95.0,7.0,41.0,300.0,25.0
474.0,4.5,96.0,10.0,12.0,23.0,33.0
34.0,3.4,55.0,32.0,31.0,145.0,20.0
368.0,3.9,76.0,14.0,8.0,51.0,30.0
108.0,4.5,87.0,7.0,258.0,76.0,43.0
92.0,4.4,85.0,9.0,893.0,95.0,24.0
155.0,4.3,79.0,10.0,1823.0,172.0,43.0
460.0,4.6,89.0,3.0,9.0,175.0,24.0
320.0,4.5,93.0,7.0,28.0,63.0,42.0
423.0,4.9,98.0,3.0,41.0,136.0,34.0
267.0,4.0,77.0,16.0,310.0,102.0,34.0
